id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,students_per_basin_on_site,students_per_school_basin_on_site,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
I591830058,PISCINE PAUL ASSEMAN,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,2,2,3024.5,3024.5,14,13,6049,6049,1115,4934,1.0,1.0,1.168998,4.106386,1.966618,1.119544,1.0,1.0,2,1,2,3024.5,6049.0,3024.5
I601590027,Plaine des sports Zac Mercieres,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,2,2,3013.5,3013.5,34,27,6027,6027,2776,3251,1.0,1.0,4.525412,8.011465,6.384497,4.11425,0.676622,0.893977,2,1,2,3013.5,6027.0,3013.5
I623610002,COMPLEXE SIDONIE GUITTARD,62361,Frévent,200069672,CC du Ternois,62,Pas-de-Calais,2,0,2981.5,0.0,46,33,5963,5963,3019,2944,1.0,1.0,12.240303,16.830894,14.050468,11.582229,0.189837,0.279893,2,1,0,2981.5,5963.0,0.0
I620650002,PISCINE MUNICIPALE,62065,Avion,246200364,CA de Lens - Liévin,62,Pas-de-Calais,1,1,5778.0,5778.0,32,30,5778,5778,3645,2133,1.0,1.0,1.8487,4.867326,2.720347,1.726429,0.953963,1.0,1,1,1,5778.0,5778.0,5778.0
I595690010,PISCINE TOURNESOL,59569,Sin-le-Noble,200044618,CA Douaisis Agglo,59,Nord,1,1,5481.0,5481.0,28,26,5481,5481,3050,2431,1.0,1.0,3.435265,6.479553,5.277548,3.342435,0.702791,1.0,1,1,1,5481.0,5481.0,5481.0
I620480002,COMPLEXE BASLY,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,2719.5,2719.5,42,36,5439,5439,3046,2393,1.0,1.0,2.071371,5.062646,2.795929,1.957474,0.851811,0.986395,2,1,2,2719.5,5439.0,2719.5
I591390015,Espace Nautique Intercommunal (ENI),59139,Caudry,200030633,CA du Caudrésis et du Catésis,59,Nord,4,4,1337.5,1337.5,29,29,5350,5350,2761,2589,1.0,1.0,3.813832,8.113744,5.39398,3.745419,0.697009,0.850654,4,1,4,1337.5,5350.0,1337.5
I625060002,SALLE DE JEUX ET TERRAINS DE PETANQUE,62506,Licques,200072478,CC Pays d'Opale,62,Pas-de-Calais,1,0,5281.0,0.0,37,31,5281,5281,3071,2210,1.0,1.0,7.944931,12.240952,9.908943,7.030493,0.17705,0.770119,1,1,0,5281.0,5281.0,0.0
I800160008,Piscine Caneton,80016,Albert,248000747,CC du Pays du Coquelicot,80,Somme,1,1,5269.0,5269.0,55,39,5269,5269,2762,2507,1.0,1.0,5.417691,8.199169,6.690208,5.424068,0.568988,0.739609,1,1,1,5269.0,5269.0,5269.0
I626430016,PISCINE INTERCOMMUNAL OCEANE,62643,Outreau,246200729,CA du Boulonnais,62,Pas-de-Calais,2,2,2616.5,2616.5,28,26,5233,5233,3356,1877,1.0,1.0,1.752479,4.738532,2.565931,1.776981,0.957386,1.0,2,1,2,2616.5,5233.0,2616.5
I592710025,Piscine Léo Lagrange,59271,Grande-Synthe,245900428,CU de Dunkerque,59,Nord,2,2,2547.5,2547.5,23,23,5095,5095,2078,3017,1.0,1.0,1.877051,3.854126,2.540206,1.782215,0.845339,1.0,2,1,2,2547.5,5095.0,2547.5
I601040007,CENTRE NAUTIQUE PHILIPPE LOISEL - KALAMOS,60104,Breteuil,200068005,CC de l'Oise Picarde,60,Oise,2,1,2543.0,5086.0,49,41,5086,5086,3011,2075,1.0,1.0,9.884235,13.917953,11.404652,9.715679,0.226897,0.58022,2,1,1,2543.0,5086.0,5086.0
I806850010,Arobase,80685,Roye,200070977,CC du Grand Roye,80,Somme,1,1,4905.0,4905.0,43,26,4905,4905,3191,1714,1.0,1.0,8.352931,11.787087,10.138915,10.218025,0.347808,0.579001,1,1,1,4905.0,4905.0,4905.0
I622680012,Centre Aquatique Naturéo,62268,Desvres,200018083,CC de Desvres-Samer,62,Pas-de-Calais,2,2,2408.0,2408.0,46,44,4816,4816,2975,1841,1.0,1.0,5.3627,10.459232,7.122044,5.265837,0.433762,0.799211,2,1,2,2408.0,4816.0,2408.0
I023400001,Piscine,02340,Gauchy,200071892,CA du Saint-Quentinois,02,Aisne,2,2,2396.0,2396.0,27,26,4792,4792,2534,2258,1.0,1.0,6.020592,8.969098,7.286191,5.89757,0.555301,0.73894,2,1,2,2396.0,4792.0,2396.0
I592490005,PISCINE MUNICIPALE,59249,Fourmies,200043404,CC du Sud Avesnois,59,Nord,2,2,2386.0,2386.0,27,25,4772,4772,2115,2657,1.0,1.0,2.897797,5.933623,4.062101,2.877085,0.744552,0.891869,2,1,2,2386.0,4772.0,2386.0
I625160007,Piscine (Parc du Brule),62516,Lillers,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,1,1,4765.0,4765.0,30,28,4765,4765,2142,2623,1.0,1.0,3.128751,6.55566,4.223868,3.064869,0.721301,0.96852,1,1,1,4765.0,4765.0,4765.0
