epci_code,epci_nom,code_departement,departement,schools_total,schools_geolocated_total,students_total,students_geolocated_total,primary_students,secondary_students,distance_coverage_share,drive_time_coverage_share,average_distance_to_installation_km,average_drive_time_to_installation_min,average_drive_distance_to_installation_km,average_distance_to_basin_km,students_within_5km_installation_share,students_within_15min_installation_share,basins_total,installations_total,school_basins_total,students_per_basin,students_per_installation,students_per_school_basin
200044030,Communauté de communes des 7 Vallées,62,62 - Pas-de-Calais,35,35,2721,2721,1532,1189,1.0,1.0,5.514926,8.795138,6.912878,5.423546,0.467475,0.755605,3,1,3,907.0,2721.0,907.0
200070944,Communauté de communes du Vimeu,80,80 - Somme,19,17,2649,2649,889,1760,1.0,1.0,2.741634,5.495957,3.56277,3.694369,0.83239,0.983767,1,1,1,2649.0,2649.0,2649.0
245901038,Communauté de communes du Pays Solesmois,59,59 - Nord,11,11,2629,2629,1300,1329,1.0,1.0,2.701335,4.598779,3.313401,2.701335,0.718524,1.0,2,1,2,1314.5,2629.0,1314.5
200070985,Communauté de communes de l'Est de la Somme,80,80 - Somme,18,18,2594,2594,1337,1257,1.0,1.0,4.050556,6.646049,5.231025,3.983983,0.64495,0.901696,2,1,2,1297.0,2594.0,1297.0
246000897,Communauté de communes de la Plaine d'Estrées,60,60 - Oise,17,17,2348,2348,1472,876,1.0,1.0,3.275521,5.368394,4.155567,3.106629,0.655026,1.0,4,1,4,587.0,2348.0,587.0
200071991,Communauté de communes Retz-en-Valois,02,02 - Aisne,21,21,4574,4574,2026,2548,1.0,1.0,3.196589,6.125048,4.451793,3.11846,0.717534,0.991911,5,2,3,914.8,2287.0,1524.666667
200071983,Communauté de communes Thiérache Sambre et Oise,02,02 - Aisne,17,17,2128,2128,1080,1048,1.0,1.0,4.726746,9.740517,6.46618,4.706852,0.570489,0.746241,1,1,1,2128.0,2128.0,2128.0
200037059,Communauté de communes de la Haute Somme (Combles - Péronne - Roisel),80,80 - Somme,26,26,4148,4148,1766,2382,1.0,1.0,2.951117,5.039978,3.636839,2.884966,0.75892,0.874397,2,2,2,2074.0,2074.0,2074.0
200070969,Communauté de communes Avre Luce Noye,80,80 - Somme,19,19,2020,2020,1090,930,1.0,1.0,5.747209,9.191178,7.01666,5.685705,0.40198,0.943069,3,1,3,673.333333,2020.0,673.333333
240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,38,37,11262,11262,3554,7708,1.0,1.0,14.695664,21.171901,17.974262,14.624518,0.0,0.00293,0,0,0,0.0,0.0,0.0
