uai,school_name,school_level,code_commune,commune,epci_code,epci_nom,code_departement,departement,students_total,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
0021934S,ECOLE MATERNELLE PUBLIQUE -,École,,AULNOIS-SOUS-LAON,,,02,AISNE,45,,,,,,,0,0,0,0
0020254R,ECOLE MATERNELLE PUBLIQUE CHARDONNIER-LEJEUNE,École,,CHAUNY,,,02,AISNE,54,,,,,,,0,0,0,0
0021177U,ECOLE MATERNELLE PUBLIQUE -,École,,SISSONNE,,,02,AISNE,68,,,,,,,0,0,0,0
0021327G,ECOLE ELEMENTAIRE PUBLIQUE CHARLES-ALBERT DEMOUSTIER,École,,VILLERS-COTTERETS,,,02,AISNE,91,,,,,,,0,0,0,0
0020301S,Ecole primaire,École,02001,Abbécourt,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,39,49.59587,3.17954,02:02488,CHAUNY - PONT CANAL,,3.319,0,0,0,0
0020303U,Ecole primaire,École,02002,Achery,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,68,49.692066,3.39082,02:00629,ACHERY - ABRI,bus,0.048,1,1,16,16
0021584L,Ecole primaire,École,02014,Amigny-Rouy,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,71,49.608705,3.303561,02:00553,AMIGNY ROUY - ABRI,bus,0.124,3,4,74,99
0020325T,Ecole primaire,École,02017,Anguilcourt-le-Sart,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,38,49.689196,3.43265,02:02312,ANGUILCOURT L. - MAIRIE ECOLE ABR,bus,0.121,1,1,3,3
0021591U,Ecole primaire Raymond Tavernier,École,02041,Autreville,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,67,49.595617,3.22898,02:02487,SINCENY - ABRI ST LAZARE,bus,0.185,4,4,90,90
0020388L,Ecole maternelle Faidherbe,École,02059,Beautor,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,71,49.658097,3.34579,02:04013,BEAUTOR - CIMETIERE,bus,0.553,0,2,0,33
0020389M,Ecole maternelle Saint-Exupéry,École,02059,Beautor,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,16,49.6513,3.343369,02:04013,BEAUTOR - CIMETIERE,,1.325,0,0,0,0
0020387K,Ecole élémentaire Camille Desmoulins,École,02059,Beautor,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,149,49.658845,3.344799,02:04013,BEAUTOR - CIMETIERE,bus,0.511,0,2,0,33
0020101Z,Ecole maternelle,École,02074,Bertaucourt-Epourdon,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,21,49.627074,3.388391,02:00551,ST GOBAIN - LE PIED DU MONT,,3.305,0,0,0,0
0021988A,Ecole primaire,École,02086,Bichancourt,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,77,49.589394,3.212376,02:02487,SINCENY - ABRI ST LAZARE,,1.486,0,0,0,0
0020111K,Ecole primaire,École,02081,Béthancourt-en-Vaux,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,39,49.626934,3.14548,STOPAREA:60:0981,BEAUGIES-SOUS-BOIS - Chemin de Berlancourt,,3.31,0,0,0,0
0020186S,Ecole élémentaire,École,02139,Caillouël-Crépigny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,45,49.620455,3.12944,STOPAREA:60:0982,BEAUGIES-SOUS-BOIS - Grande rue,,2.738,0,0,0,0
0020194A,Ecole primaire,École,02145,Caumont,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,82,49.633015,3.17365,02:02491,VILLEQUIER A. - CIMETIERE,,3.039,0,0,0,0
0020467X,Collège Lacordaire,Collège,02165,Charmes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,148,49.657637,3.38503,02:00314,LA FERE - CARREFOUR DE LAON,bus,0.352,1,3,16,86
0021602F,Ecole primaire privée Lacordaire,École,02165,Charmes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,145,49.657471,3.38558,02:00314,LA FERE - CARREFOUR DE LAON,bus,0.391,1,2,16,34
0021651J,Ecole élémentaire Maurice Prat,École,02165,Charmes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,154,49.653438,3.37807,02:00316,LA FERE - GARE SNCF,bus | rail,0.78,0,4,0,144
0020015F,Collège Jacques Cartier,Collège,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,448,49.623469,3.22634,02:00614,CHAUNY - HOSPITAL,bus,0.616,0,3,0,40
0020469Z,Collège Saint-Charles,Collège,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,235,49.614461,3.21252,02:00560,CHAUNY - PLACE BOUZIER,bus | rail,0.294,2,6,49,185
0021493M,Collège Victor Hugo,Collège,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,498,49.620829,3.21426,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.278,3,3,68,68
0021795R,Ecole maternelle Germaine Harleux,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,63,49.626137,3.206791,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.586,0,1,0,19
0020260X,Ecole maternelle Groupe scolaire Renan,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,52,49.621825,3.218611,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.393,2,3,38,68
0020257U,Ecole maternelle Groupe scolaire de La Chaussée,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,39,49.609822,3.22431,StopArea:OCE87296616,Chauny,bus | rail,0.161,3,3,117,117
0021875C,Ecole maternelle Les Linières,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,58,49.621568,3.20122,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.916,0,1,0,19
0021605J,Ecole primaire privée Saint Charles,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,303,49.614434,3.2114,02:00560,CHAUNY - PLACE BOUZIER,bus | rail,0.335,1,6,30,185
0021838M,Ecole élémentaire André Boulloche,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,81,49.625826,3.206271,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.601,0,1,0,19
0020262Z,Ecole élémentaire La Résidence,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,171,49.623877,3.207147,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.473,1,3,19,68
0020258V,Ecole élémentaire Renan,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,114,49.621736,3.21736,02:02490,CHAUNY - ARRET TERNYNCK,bus,0.319,2,3,38,68
0020255S,Ecole élémentaire de La Chaussée,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,75,49.608829,3.221889,02:02488,CHAUNY - PONT CANAL,bus | rail,0.081,3,3,117,117
0020252N,Groupe scolaire Jean Jaurès,École,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,105,49.61665,3.22448,02:02489,CHAUNY - ARRET PROMENADES,bus | rail,0.554,0,5,0,166
0020014E,Lycée Gay-Lussac,Lycée GT + Lycée pro / BTS,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,1276,49.614417,3.220999,02:00559,CHAUNY - GARE SNCF,bus | rail,0.377,3,5,117,166
0021870X,Lycée Saint-Charles,Lycée GT,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,89,49.614667,3.212529,02:00560,CHAUNY - PLACE BOUZIER,bus | rail,0.273,2,6,49,185
0022008X,Lycée professionnel Jean Macé,Collège + Lycée pro / BTS,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,512,49.614417,3.220999,02:00559,CHAUNY - GARE SNCF,bus | rail,0.377,3,5,117,166
0021906L,Lycée professionnel Saint-Charles,Collège + Lycée pro / BTS,02173,Chauny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,478,49.614285,3.21246,02:00560,CHAUNY - PLACE BOUZIER,bus | rail,0.314,2,5,49,166
0020560Y,Ecole primaire Les 4 Chemins,École,02212,Condren,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,49,49.643955,3.27964,StopArea:OCE87296442,Tergnier,,2.111,0,0,0,0
0020627W,Ecole maternelle,École,02260,Danizy,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,16,49.664976,3.39179,02:00956,DANIZY - PLACE MAIRIE,bus,0.05,1,2,18,34
0021041W,Ecole primaire,École,02329,Fourdrain,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,40,49.613149,3.47067,02:00060,FOURDRAIN - MAIRIE,bus,0.05,2,2,15,15
0022054X,Ecole primaire,École,02336,Frières-Faillouël,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,71,49.688679,3.21945,02:02210,FRIERES F. - FAILLOUEL ABRI,bus,0.126,1,1,19,19
0021518P,Collège Marie de Luxembourg,Collège,02304,La Fère,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,842,49.663955,3.3641,02:00318,LA FERE - COLLEGE MARIE DE LUXEMB,bus | rail,0.078,3,6,70,198
0020456K,Ecole primaire Jean Moulin,École,02304,La Fère,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,206,49.664025,3.36596,02:00318,LA FERE - COLLEGE MARIE DE LUXEMB,bus | rail,0.208,3,6,70,198
0020457L,Ecole primaire Jules Verne,École,02304,La Fère,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,53,49.658576,3.373379,02:00315,LA FERE - PONT DE L'OISE,bus | rail,0.185,3,7,128,214
0020022N,Lycée professionnel Jean Monnet,Lycée pro / BTS,02304,La Fère,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,286,49.659701,3.36659,02:00618,LA FERE - REPUBLIQUE EC.,bus | rail,0.154,5,6,162,198
0021403P,Ecole élémentaire,École,02546,La Neuville-en-Beine,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,16,49.675658,3.150707,80:08937,VILLESELVE  - Route De Brouchy Rd,,3.269,0,0,0,0
0020651X,Ecole primaire,École,02456,Manicamp,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,26,49.571663,3.16936,StopArea:OCE87296459,Appilly,,3.638,0,0,0,0
0020658E,Ecole élémentaire de Marest Centre,École,02461,Marest-Dampcourt,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,22,49.599254,3.152121,STOPAREA:60:1591,MONDESCOURT - Ecole,,2.822,0,0,0,0
0020676Z,Ecole élémentaire,École,02474,Mennessis,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,39,49.693312,3.27305,StopArea:OCE87296434,Mennessis,bus | rail,0.227,1,1,32,32
0020702C,Ecole primaire,École,02492,Monceau-lès-Leups,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,35,49.671229,3.49328,02:02109,MONCEAU LES L. - ABRI MAIRIE,bus,0.019,1,1,28,28
0021431V,Ecole primaire Louis Lesur,École,02566,Ognes,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,106,49.610776,3.19456,02:00560,CHAUNY - PLACE BOUZIER,,1.56,0,0,0,0
0020747B,Ecole primaire,École,02631,Quierzy,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,48,49.572159,3.14385,StopArea:OCE87296459,Appilly,,1.903,0,0,0,0
0020046P,Collège de la Chesnoye,Collège,02680,Saint-Gobain,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,596,49.59095,3.37798,02:00547,ST GOBAIN - LA CHESNOYE,bus,0.236,1,3,36,62
0020815A,Ecole maternelle du Gros Chêne,École,02680,Saint-Gobain,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,89,49.596291,3.379701,02:00550,ST GOBAIN - EC. MATERNELLE,bus,0.022,3,4,62,65
0020813Y,Ecole élémentaire Jean Moulin,École,02680,Saint-Gobain,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,174,49.591051,3.376659,02:00547,ST GOBAIN - LA CHESNOYE,bus,0.222,1,3,36,62
0021174R,Ecole maternelle,École,02719,Sinceny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,59,49.596136,3.247849,02:00555,SINCENY - ABRI EGLISE,bus,0.186,2,3,54,81
0021172N,Ecole élémentaire des Nécreux,École,02719,Sinceny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,111,49.595766,3.24695,02:00555,SINCENY - ABRI EGLISE,bus,0.133,2,3,54,81
0020063H,Collège Joliot-Curie,Collège,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,1344,49.649629,3.285998,StopArea:OCE87296442,Tergnier,,1.331,0,0,0,0
0022113L,Collège Père Joseph Wrésinski,Collège,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,184,49.65588,3.3002,StopArea:OCE87296442,Tergnier,bus | rail,0.419,1,1,76,76
0020448B,Ecole maternelle André Boulloche,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,108,49.658759,3.31365,StopArea:OCE87296442,Tergnier,,1.181,0,0,0,0
0021220R,Ecole maternelle André Malraux,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,70,49.655592,3.29392,StopArea:OCE87296442,Tergnier,bus | rail,0.461,1,1,76,76
0020743X,Ecole maternelle André Soveaux,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,37,49.677013,3.29629,StopArea:OCE87296442,Tergnier,,1.99,0,0,0,0
0020940L,Ecole maternelle Buttes Chaumont,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,24,49.670017,3.28239,StopArea:OCE87296442,Tergnier,,1.616,0,0,0,0
0020746A,Ecole maternelle Raoul Dautry,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,73,49.666428,3.284649,StopArea:OCE87296442,Tergnier,,1.217,0,0,0,0
0021223U,Ecole maternelle Roosevelt,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,49,49.657195,3.30038,StopArea:OCE87296442,Tergnier,bus | rail,0.311,1,1,76,76
0021647E,Ecole primaire Albert Camus,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,123,49.651609,3.279621,StopArea:OCE87296442,Tergnier,,1.52,0,0,0,0
0022074U,Ecole primaire Louis Blériot,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,118,49.650562,3.284603,StopArea:OCE87296442,Tergnier,,1.318,0,0,0,0
0021626G,Ecole primaire privée de L'Immaculée-Conception,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,117,49.655373,3.300649,StopArea:OCE87296442,Tergnier,bus | rail,0.484,1,1,76,76
0022011A,Ecole élémentaire André Boulloche,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,186,49.658497,3.316198,StopArea:OCE87296442,Tergnier,,1.365,0,0,0,0
0021218N,Ecole élémentaire André Malraux,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,136,49.656104,3.292147,StopArea:OCE87296442,Tergnier,bus | rail,0.498,1,1,76,76
0020741V,Ecole élémentaire Henri Décarpigny,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,73,49.671191,3.30036,StopArea:OCE87296442,Tergnier,,1.36,0,0,0,0
0020744Y,Ecole élémentaire Pasteur,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,175,49.665518,3.285791,StopArea:OCE87296442,Tergnier,,1.089,0,0,0,0
0021221S,Ecole élémentaire Roosevelt,École,02738,Tergnier,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,77,49.65795,3.298949,StopArea:OCE87296442,Tergnier,bus | rail,0.179,1,1,76,76
0021554D,Ecole primaire,École,02788,Versigny,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,32,49.653863,3.43483,StopArea:OCE87296608,Versigny,bus | rail,0.405,1,1,21,21
0021322B,Ecole primaire,École,02807,Villequier-Aumont,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,42,49.657841,3.206435,02:04939,VILLEQUIER A. - PLACE,bus,0.058,2,3,29,36
0021555E,Ecole primaire Centre,École,02820,Viry-Noureuil,200071785,Communauté d'agglomération Chauny-Tergnier-La Fère,02,02 - Aisne,116,49.630416,3.245219,StopArea:OCE87297051,Viry-Noureuil,bus | rail,0.493,1,2,4,6
0022093P,Ecole primaire Charles Chevallier,École,02003,Acy,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,85,49.353955,3.416881,02:01171,BILLY S/ A. - X ACY ET VENIZEL,,1.211,0,0,0,0
0021659T,Collège Jean Mermoz,Collège,02064,Belleu,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,486,49.362363,3.334704,STOPAREA:02:0026,BELLEU - SOISSONS - Gare Routière Quai 8,bus | rail,0.672,0,3,0,199
0020397W,Ecole maternelle Pasteur - Les Tournelles,École,02064,Belleu,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,99,49.361805,3.33054,STOPAREA:02:0026,BELLEU - SOISSONS - Gare Routière Quai 8,bus | rail,0.833,0,3,0,199
0020395U,Ecole élémentaire J Verne - L Lagrange,École,02064,Belleu,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,236,49.358649,3.33349,STOPAREA:02:0026,BELLEU - SOISSONS - Gare Routière Quai 8,,1.094,0,0,0,0
0021429T,Ecole primaire du Rondeau,École,02564,Bernoy-le-Château,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,48,49.333032,3.334478,02:00172,NOYANT ET A. - RTE CHATEAU THIERR,bus,0.45,1,2,18,41
0020121W,Ecole primaire Hérou Pasteur,École,02089,Billy-sur-Aisne,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,112,49.356077,3.38412,02:00847,BILLY S/ A. - CROISEMENT,bus,0.866,0,1,0,16
0021570W,Ecole primaire René Hocquemiller,École,02226,Courmelles,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,167,49.346674,3.31189,02:00173,BERZY LE S. - GARE,,1.694,0,0,0,0
0022029V,Ecole primaire Groupe Scolaire de Crouy,École,02243,Crouy,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,353,49.399488,3.337951,02:02478,CROUY - VAUXROT ST LAUREN,bus,0.505,0,1,0,19
0021491K,Collège Maurice Wajsfelner,Collège,02245,Cuffies,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,404,49.404841,3.32256,02:02478,CROUY - VAUXROT ST LAUREN,,1.235,0,0,0,0
0020607Z,Ecole primaire Le Petit Prince,École,02245,Cuffies,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,123,49.403904,3.32271,02:02478,CROUY - VAUXROT ST LAUREN,,1.148,0,0,0,0
0020955C,Ecole primaire,École,02398,Juvigny,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,26,49.44888,3.318219,02:01996,LEUILLY /S C. - BANC DE PIERRE,,3.532,0,0,0,0
0020681E,Ecole primaire,École,02477,Mercin-et-Vaux,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,91,49.375166,3.277109,02:00258,MERCIN ET V. - FACE 4 AV COMPIEGN,bus,0.943,0,2,0,56
0021447M,Ecole primaire,École,02576,Osly-Courtil,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,33,49.401391,3.22699,STOPAREA:02:0014,OSLY-COURTIL - 2 Route de Fontenoy,bus,0.181,1,1,22,22
0020891H,Ecole primaire Robert Lengele,École,02593,Pasly,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,122,49.401802,3.29274,STOPAREA:02:0003,POMMIERS - Église,,1.792,0,0,0,0
0020914H,Ecole primaire du Limodore,École,02610,Pommiers,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,112,49.391966,3.2755,STOPAREA:02:0003,POMMIERS - Église,bus,0.285,1,1,22,22
0021150P,Ecole élémentaire,École,02706,Septmonts,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,43,49.334106,3.359449,02:00944,SEPTMONTS - PLACE,bus,0.074,1,1,3,3
0021165F,Ecole élémentaire,École,02714,Sermoise,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,23,49.373604,3.45128,02:00846,SERMOISE - EGLISE,bus,0.05,1,1,13,13
0021492L,Collège Gérard Philipe,Collège,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,992,49.372197,3.305841,02:03102,SOISSONS - LTE CES BD PRESLES,bus,0.041,2,4,51,57
0021535H,Collège Lamartine,Collège,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,400,49.386316,3.313901,STOPAREA:02:0023,SOISSONS - Pillot (Résidence Voltaire) R / SOISSONS,bus,0.607,0,10,0,164
0021691C,Collège Saint-Just,Collège,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,944,49.382762,3.32526,02:04469,SOISSONS - MANTOUE,bus,0.177,4,14,61,238
0021525X,Collège Saint-Paul,Collège,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,1444,49.378229,3.31552,02:00955,SOISSONS - AVENUE DE PARIS,bus,0.053,5,10,32,142
0022180J,Collège Saint-Vincent de Paul,Collège,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,86,49.375407,3.33559,02:04018,SOISSONS - MOLIERE,bus | rail,0.283,5,8,115,314
0021856G,Ecole maternelle Louise Michel,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,88,49.374005,3.30325,STOPAREA:02:0020,SOISSONS - LTE CES BD PRESLES,bus,0.235,2,2,51,51
0021891V,Ecole primaire Galilée,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,159,49.383916,3.34345,02:01170,SOISSONS - BLD GAMBETTA,bus,0.95,0,1,0,38
0021996J,Ecole primaire Jean Moulin,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,167,49.38071,3.3065,STOPAREA:02:0023,SOISSONS - Pillot (Résidence Voltaire) R / SOISSONS,bus,0.694,0,5,0,78
0021995H,Ecole primaire Ramon,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,148,49.388654,3.322016,02:04464,SOISSONS - ARRET DUMAS 1,bus,0.192,4,8,77,160
0022068M,Ecole primaire Raymonde Fiolet,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,387,49.373429,3.31091,STOPAREA:02:0020,SOISSONS - LTE CES BD PRESLES,bus,0.415,2,7,51,84
0021193L,Ecole primaire Saint-Waast,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,265,49.382698,3.336049,02:01170,SOISSONS - BLD GAMBETTA,bus,0.462,1,8,38,177
0022061E,Ecole primaire Tour de Ville - Mendès France,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,299,49.373513,3.31765,02:04272,SOISSONS - JJ ROUSSEAU,bus,0.493,1,11,3,149
0022066K,Ecole primaire d'application du Centre,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,229,49.378575,3.32627,02:04469,SOISSONS - MANTOUE,bus,0.331,7,16,107,282
0022072S,Ecole primaire de La Gare,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,218,49.371634,3.33795,StopArea:OCE87271817,Soissons,bus | rail,0.268,5,8,243,314
0021625F,Ecole primaire privée Saint Rémy,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,618,49.379901,3.32062,02:00954,SOISSONS - BD JEANNE D'ARC,bus,0.045,6,14,62,238
0022073T,Ecole primaire publique Michelet,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,359,49.376292,3.304093,STOPAREA:02:0020,SOISSONS - LTE CES BD PRESLES,bus,0.441,2,3,51,54
0021191J,Ecole élémentaire Saint-Crépin,École,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,109,49.386943,3.31805,STOPAREA:02:0006,SOISSONS - Lycée Nerval,bus,0.388,4,9,77,161
0020059D,Lycée Gérard de Nerval,Lycée GT + Lycée pro / BTS,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,1149,49.386364,3.323269,STOPAREA:02:0006,SOISSONS - Lycée Nerval,bus,0.075,5,9,105,161
0021874B,Lycée Saint-Rémy,Lycée GT + Lycée pro / BTS,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,449,49.376206,3.323052,02:04272,SOISSONS - JJ ROUSSEAU,bus,0.146,5,12,39,205
0022108F,Lycée Saint-Vincent-de-Paul,Lycée GT + Lycée pro / BTS,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,203,49.37574,3.335601,02:04018,SOISSONS - MOLIERE,bus | rail,0.312,5,8,115,314
0022044L,Lycée polyvalent Le Corbusier,Collège + Lycée GT + Lycée pro / BTS,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,496,49.364352,3.31646,02:00035,SOISSONS - LE CORBUSIER CITE SCOL,bus,0.071,3,3,50,50
0021476U,Lycée polyvalent Léonard de Vinci,Collège + Lycée GT + Lycée pro / BTS,02722,Soissons,240200477,Communauté d'agglomération GrandSoissons Agglomération,02,02 - Aisne,797,49.371472,3.308141,02:03102,SOISSONS - LTE CES BD PRESLES,bus,0.224,2,6,51,104
