epci_code,epci_nom,code_departement,departement,population_2023_communes,communes_total,communes_avec_licences_ffn,communes_avec_bassin,communes_avec_licences_sans_bassin,nb_qpv,pop_qpv,licences_ffn_2023,licences_toutes_2023,licences_hors_scol_2023,bassins_total,installations_total,bassins_dsp,part_dsp_bassins,bassins_regie,part_regie_bassins,bassins_prive_hors_dsp,part_autre_hors_dsp_bassins,bassins_usage_scolaires,part_bassins_usage_scolaires,bassins_site_scolaire_explicit,part_bassins_site_scolaire_explicit,bassins_qpv,bassins_qpv_200m,surface_totale_bassins_m2,bassins_pour_100k_hab,licences_ffn_pour_1000hab,licences_ffn_par_bassin,part_population_qpv
246000848,Communauté de communes de la Picardie Verte,60,60 - Oise,32134,88,59,1,58,0,0,303,5789,5137,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,600.0,6.223937262712392,9.429264953009273,151.5,0.0
246000897,Communauté de communes de la Plaine d'Estrées,60,60 - Oise,18167,19,10,1,9,0,0,32,4819,4148,4,1,4,1.0,0,0.0,0,0.0,4,1.0,0,0.0,0,0,281.0,22.01794462486927,1.761435569989541,8.0,0.0
246000772,Communauté de communes des Deux Vallées,60,60 - Oise,22569,16,15,1,14,0,0,179,5313,4412,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0,250.0,4.430856484558465,7.931233107359652,179.0,0.0
246000749,Communauté de communes des Lisières de l'Oise,60,60 - Oise,15940,20,18,0,18,0,0,357,3607,3046,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,22.39648682559599,,0.0
246000921,Communauté de communes des Pays d'Oise et d'Halatte,60,60 - Oise,34438,17,12,1,11,1,1298,125,9750,7998,1,1,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,1,312.5,2.903769092281782,3.629711365352227,125.0,0.03769092281781752
246000582,Communauté de communes des Sablons,60,60 - Oise,38502,21,11,1,10,1,2803,34,8760,7157,2,1,0,0.0,0,0.0,2,1.0,2,1.0,0,0.0,0,0,456.5,5.194535348813049,0.8830710092982182,17.0,0.07280141291361487
246000376,Communauté de communes du Clermontois,60,60 - Oise,37784,18,12,0,12,1,1384,66,8245,6824,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,1.746771120050815,,0.03662926106288376
246000129,Communauté de communes du Liancourtois,60,60 - Oise,23878,10,8,0,8,0,0,59,5026,4400,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.470893709690929,,0.0
246000756,Communauté de communes du Pays Noyonnais,60,60 - Oise,31879,42,33,1,32,2,3401,270,7323,5189,2,1,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,0,0,437.5,6.273722513253238,8.469525392891873,135.0,0.1066846513378713
246000913,Communauté de communes du Pays de Bray,60,60 - Oise,18144,23,12,0,12,0,0,41,3764,3086,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.259700176366843,,0.0
246000871,Communauté de communes du Pays de Valois,60,60 - Oise,55394,62,36,0,36,1,1689,189,14335,12387,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,3.411921868794454,,0.03049066685922663
246000855,Communauté de communes du Pays des Sources,60,60 - Oise,22141,48,26,1,25,0,0,115,5214,4399,1,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,396.0,4.516507836141096,5.19398401156226,115.0,0.0
246000566,Communauté de communes du Plateau Picard,60,60 - Oise,29684,52,6,0,6,0,0,11,6060,4848,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,0.3705700040425818,,0.0
246000707,Communauté de communes du Vexin-Thelle,60,60 - Oise,20561,37,16,0,16,0,0,44,4274,3797,0,0,0,,0,,0,,0,,0,,0,0,0.0,0.0,2.139973736685959,,0.0
