id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
I594840006,Piscine du Sivah,59484,Quiévrechain,245901160,CA Valenciennes Métropole,59,Nord,2,2,50.40058,3.66917,STOPAREA:59:1827,QUIEVRECHAIN - Blanc Misseron 4 Pavés,bus,0.272,2,4,5,11
I591220021,Piscine les Ondines,59122,Cambrai,200068500,CA de Cambrai,59,Nord,1,1,50.16252,3.258,STOPAREA:59:0487,CAMBRAI - AFPA,bus,0.774,0,2,0,12
I591220022,Stade Nautique Liberté,59122,Cambrai,200068500,CA de Cambrai,59,Nord,5,4,50.1723,3.2267,80:08311,CAMBRAI - Match,bus,0.438,1,7,2,110
I591720022,Centre Aqualudique Natur&O,59172,Denain,200042190,CA de la Porte du Hainaut,59,Nord,4,4,50.322217,3.393402,StopArea:OCE87343459,Denain,,1.401,0,0,0,0
I595260001,Centre Aquatique intercommunal de Saint-Amand-les-Eaux,59526,Saint-Amand-les-Eaux,200042190,CA de la Porte du Hainaut,59,Nord,2,2,50.443885,3.434574,STOPAREA:59:2161,SAINT AMAND LES EAUX - Eglise,bus,0.359,1,3,11,45
I592050005,Piscine Maurice Thorez,59205,Escaudain,200042190,CA de la Porte du Hainaut,59,Nord,2,2,50.332477,3.337655,StopArea:OCE87343475,Lourches,,2.504,0,0,0,0
I594910002,piscine Louis Poncet,59491,Raismes,200042190,CA de la Porte du Hainaut,59,Nord,1,1,50.394718,3.483589,StopArea:OCE87343319,Raismes,bus | rail,0.597,0,1,0,23
I591360007,Duo Le Cateau,59136,Le Cateau-Cambrésis,200030633,CA du Caudrésis et du Catésis,59,Nord,4,0,50.095396,3.531961,STOPAREA:59:1298,LE CATEAU-CAMBRESIS - Collège Jean Rostand,bus | rail,0.493,1,6,3,35
I591390015,Espace Nautique Intercommunal (ENI),59139,Caudry,200030633,CA du Caudrésis et du Catésis,59,Nord,4,4,50.128263,3.395753,STOPAREA:59:0579,CAUDRY - Rabelais,bus,0.647,0,3,0,18
I590080007,piscine municipale,59008,Aniche,245901152,CC Cœur d'Ostrevent,59,Nord,1,1,50.32551,3.25421,STOPAREA:59:0034,ANICHE - Azincourt,bus,0.735,0,1,0,1
I590360001,Piscine Laurent Swaenepoel,59036,Avesnes-sur-Helpe,200043263,CC Cœur de l'Avesnois,59,Nord,2,2,50.12064,3.92245,STOPAREA:59:0163,AVESNES-SUR-HELPE - Lycee Jesse De Forest,bus,0.239,3,6,117,365
I595860007,Centre aquatique le Chant de l'Eau,59586,Templeuve-en-Pévèle,200041960,CC Pévèle-Carembault,59,Nord,4,3,50.516756,3.154498,STOPAREA:59:2281,TEMPLEUVE - La Croisette,bus,0.183,1,2,14,40
I594490006,PISCINE MUNICIPALE,59449,Orchies,200041960,CC Pévèle-Carembault,59,Nord,1,1,50.465918,3.24432,STOPAREA:59:1718,ORCHIES - Collège du Pévèle,bus,0.578,0,4,0,119
I591970005,SWIM CENTER PEVELE,59197,Ennevelin,200041960,CC Pévèle-Carembault,59,Nord,1,0,50.51731,3.12945,STOPAREA:59:1539,MERIGNIES - Green,bus,0.379,1,4,11,66
I592950020,Piscine intercommunale d'Hazebrouck,59295,Hazebrouck,200040947,CC de Flandre Intérieure,59,Nord,2,2,50.719756,2.539491,STOPAREA:59:1145,HAZEBROUCK - Saint Eloi,bus | rail,0.292,3,8,248,646
I596630011,Centre aquatique Linéo,59663,Wormhout,200040954,CC des Hauts de Flandre,59,Nord,2,2,50.882636,2.486644,STOPAREA:59:2592,WORMHOUT - Linéo,bus,0.052,1,1,14,14
I595710003,PISCINE,59571,Solesmes,245901038,CC du Pays Solesmois,59,Nord,2,2,50.19028,3.49841,STOPAREA:59:2124,SOLESMES - Calvaire,bus,0.09,3,5,16,28
I592490005,PISCINE MUNICIPALE,59249,Fourmies,200043404,CC du Sud Avesnois,59,Nord,2,2,50.01923,4.05141,STOPAREA:59:0964,FOURMIES - Charles De Gaulle,bus | rail,0.035,7,12,202,351
I591830041,BASSIN D INITIATION DELEERSNYDER,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,1,1,51.04789,2.40012,STOPAREA:59:0752,DUNKERQUE - Malo Plage,bus,0.952,0,1,0,8
I591830058,PISCINE PAUL ASSEMAN,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,2,2,51.047481,2.386538,STOPAREA:59:0752,DUNKERQUE - Malo Plage,bus,0.04,2,3,15,24
I593400009,PISCINE PAUL HANCOLAS ET SALLE DEMARTINICOURT,59340,Leffrinckoucke,245900428,CU de Dunkerque,59,Nord,2,2,51.054475,2.44025,STOPAREA:59:1906,ROSENDAEL - Lycée Horticole,,1.01,0,0,0,0
I591830087,Piscine Georges Guynemer,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,3,2,51.021923,2.32902,STOPAREA:59:1757,PETITE SYNTHE - Av. Desmidt,bus,0.297,1,2,2,4
I592710025,Piscine Léo Lagrange,59271,Grande-Synthe,245900428,CU de Dunkerque,59,Nord,2,2,51.01925,2.3022,STOPAREA:59:1053,GRANDE SYNTHE - Plaines du Nord,bus,0.714,0,3,0,30
I590940007,Piscine Municipale,59094,Bourbourg,245900428,CU de Dunkerque,59,Nord,1,1,50.94087,2.19561,STOPAREA:59:0399,BOURBOURG - Ancre,bus,0.289,4,6,84,108
I591070012,Piscine Municipale,59107,Bray-Dunes,245900428,CU de Dunkerque,59,Nord,1,1,51.07227,2.51452,STOPAREA:59:0427,BRAY DUNES - Collège du Septentrion,bus,0.215,3,4,12,14
I592730013,complexe Maurice Baude et Piscine Municipale,59273,Gravelines,245900428,CU de Dunkerque,59,Nord,2,2,50.986153,2.137431,STOPAREA:59:1057,GRAVELINES - Château d'Eau,bus,0.251,1,3,2,6
I590090058,CENTRE NAUTIQUE BABYLONE,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.652045,3.143764,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.223,0,0,0,0
I592860012,"Centre Aquatique Loos Haubourdin ""NEPTUNIA""",59286,Haubourdin,200093201,Métropole Européenne de Lille,59,Nord,3,3,50.614743,2.996927,STOPAREA:59:1418,LOOS - Heurtebise,bus | rail,0.348,3,7,8,66
I595120028,Centre Nautique THALASSA,59512,Roubaix,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.691306,3.16359,StopArea:OCE87286732,Roubaix,bus | rail,0.473,1,1,38,38
I590170009,Centre aquatique Calyssia,59017,Armentières,200093201,Métropole Européenne de Lille,59,Nord,3,3,50.688563,2.867883,STOPAREA:59:0066,ARMENTIERES - Bld Faidherbe - Pôle emploi,bus,0.167,6,10,115,264
I595270004,"Complexe Piscine, volley",59527,Saint-André-lez-Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.658725,3.050315,STOPAREA:59:2167,SAINT ANDRE LEZ LILLE - Mairie,bus | rail,0.257,2,4,4,46
I595080005,PISCINE,59508,Roncq,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.75539,3.12438,STOPAREA:59:1896,RONCQ - Place,bus,0.319,1,1,2,2
I596460016,PISCINE CENTRE NAUTIQUE CALYPSO,59646,Wasquehal,200093201,Métropole Européenne de Lille,59,Nord,2,1,50.67723,3.12989,StopArea:OCE87286716,Croix - Wasquehal,bus | rail,0.594,0,1,0,10
I592990008,PISCINE DES TROIS VILLES,59299,Hem,200093201,Métropole Européenne de Lille,59,Nord,1,0,50.67109,3.19829,STOPAREA:59:1293,LANNOY - Lannoy Place,bus,0.968,0,1,0,2
I590090057,PISCINE DU TRIOLO,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.61372,3.14763,STOPAREA:59:2376,VILLENEUVE D ASCQ - Ascq 4 Chemins,bus,0.551,0,4,0,71
I593680009,PISCINE MUNICIPALE,59368,La Madeleine,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.654739,3.073087,STOPAREA:59:1271,LA MADELEINE - Marché,bus | rail,0.205,1,2,2,42
I594100005,PISCINE MUNICIPALE,59410,Mons-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,3,3,50.639779,3.106583,STOPAREA:59:2382,VILLENEUVE D ASCQ - Les Prés - Edgard Pisani,,1.821,0,0,0,0
I595070005,PISCINE MUNICIPALE,59507,Ronchin,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.60282,3.09196,STOPAREA:59:1890,RONCHIN - Destoop,bus | rail,0.879,0,2,0,58
I592790009,PISCINE MUNICIPALE PHILIPPE CROIZON,59279,Halluin,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.77745,3.12932,STOPAREA:59:1088,HALLUIN - Parc des Sports,bus,0.37,3,4,4,6
I593500093,PISCINE MUNICIPALE/59355/LOMME,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.64371,3.01476,STOPAREA:59:2106,SEQUEDIN - Archelois,,2.547,0,0,0,0
I591630006,Piscine Municipale,59163,Croix,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.67689,3.149305,StopArea:OCE87286716,Croix - Wasquehal,bus | rail,0.812,0,1,0,10
I593780017,Piscine Municipale,59378,Marcq-en-Barœul,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.666115,3.086835,STOPAREA:59:1466,MARCQ EN BAROEUL - Doumer,bus,0.696,0,2,0,4
I593280017,Piscine Municipale,59328,Lambersart,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.65081,3.02675,StopArea:OCE87286195,Saint-André,,1.525,0,0,0,0
I593500108,Piscine Olympique Marx Dormoy,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,2,2,50.63636,3.03354,StopArea:OCE87286195,Saint-André,,2.23,0,0,0,0
I596480018,Piscine ZEN & O,59648,Wattignies,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.588534,3.039443,STOPAREA:59:2492,WATTIGNIES - Blériot,bus,0.058,2,7,6,156
I593030010,Piscine des WEPPES,59303,Herlies,200093201,Métropole Européenne de Lille,59,Nord,3,3,50.576812,2.854375,STOPAREA:59:1150,HERLIES - Mairie,bus,0.038,1,1,2,2
I593500021,Piscine plein Sud,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,1,1,50.6074,3.0413,STOPAREA:59:1384,LILLE - CHU - Eurasanté,bus | rail,0.194,2,5,80,266
I595990002,Tourcoing les Bains,59599,Tourcoing,200093201,Métropole Européenne de Lille,59,Nord,5,3,50.724227,3.160676,StopArea:OCE87286542,Tourcoing,bus | rail,0.972,0,1,0,38
I601750010,Piscine municipale,60175,Creil,200068047,CA Creil Sud Oise,60,Oise,1,1,49.26152,2.47427,STOPAREA:60:1881,CREIL - Carnot,bus | rail,0.18,9,11,1118,1178
I601590032,PISCINE HIVER AVENUE D'HUY,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,2,2,49.40158,2.81726,STOPAREA:60:0042,COMPIÈGNE - Piscine,bus,0.177,2,3,151,162
I601590027,Plaine des sports Zac Mercieres,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,2,2,49.38909,2.78301,StopArea:OCE87272013,Jaux,bus | rail,0.507,0,4,0,162
I600570045,Aquaspace,60057,Beauvais,200067999,CA du Beauvaisis,60,Oise,5,5,49.451773,2.094182,STOPAREA:60:0118,BEAUVAIS - Parc Marcel Dassault,bus,0.3,1,2,112,113
I601030008,PISCINE INTERCOMMUNALE,60103,Bresles,200067999,CA du Beauvaisis,60,Oise,2,2,49.40863,2.24552,STOPAREA:60:0122,BRESLES - Collège,bus,0.082,3,4,35,50
I600570060,Piscine Aldebert Bellier,60057,Beauvais,200067999,CA du Beauvaisis,60,Oise,2,2,49.424222,2.080324,STOPAREA:60:0074,BEAUVAIS - Ile de France,bus | rail,0.276,3,10,454,744
I602380004,PISCINE JEAN TOURSIERE,60238,Fleurines,200066975,CC Senlis Sud Oise,60,Oise,1,0,49.26502,2.59054,STOPAREA:60:1819,FLEURINES - Roquesable,bus,0.445,1,3,47,141
I601390001,PISCINE AQUATHELLE,60139,Chambly,200067973,CC Thelloise,60,Oise,2,1,49.1721,2.25376,STOPAREA:60:2073,CHAMBLY - Collège Jacques Prévert,bus,0.338,1,3,22,35
I602820009,PISCINE AQUALIS,60282,Gouvieux,246000764,CC de l'Aire Cantilienne,60,Oise,4,2,49.189307,2.434515,STOPAREA:60:1473,GOUVIEUX - Centre AQUALIS,bus,0.027,3,5,240,472
I601040007,CENTRE NAUTIQUE PHILIPPE LOISEL - KALAMOS,60104,Breteuil,200068005,CC de l'Oise Picarde,60,Oise,2,1,49.6355,2.30057,STOPAREA:60:0301,BRETEUIL - Compere Morel,bus,0.106,3,6,68,181
I602860002,PISCINE OCEANE,60286,Grandvilliers,246000848,CC de la Picardie Verte,60,Oise,2,2,49.6621,1.94488,STOPAREA:60:1801,GRANDVILLIERS - Collège Ferdinand Buisson,bus | rail,0.173,4,5,52,70
I602230013,CENTRE AQUATIQUE DE LA PLAINE D'ESTREES,60223,Estrées-Saint-Denis,246000897,CC de la Plaine d'Estrées,60,Oise,4,4,49.42945,2.64326,STOPAREA:60:1125,ESTRÉES-SAINT-DENIS - Collège Abel Didelet,bus | rail,0.083,4,7,105,158
I606360002,PISCINE GEORGES BONICHOT,60636,Thourotte,246000772,CC des Deux Vallées,60,Oise,1,1,49.47849,2.8711,STOPAREA:60:1380,THOUROTTE - Collège Clotaire Baujoin,bus | rail,0.32,1,5,41,125
I605090006,PISCINE,60509,Pont-Sainte-Maxence,246000921,CC des Pays d'Oise et d'Halatte,60,Oise,1,1,49.29404,2.59608,STOPAREA:60:1903,PONT-SAINTE-MAXENCE - Collège Aubrac,bus,0.087,1,4,7,78
I603950010,Piscine des Sablons,60395,Méru,246000582,CC des Sablons,60,Oise,2,2,49.23699,2.14285,STOPAREA:60:1860,MÉRU - Lycée Condorcet,bus | rail,0.129,1,3,37,137
I604710011,PISCINE MUNICIPALE PAUL BOUTEFEU,60471,Noyon,246000756,CC du Pays Noyonnais,60,Oise,2,2,49.57714,2.99585,STOPAREA:60:0037,NOYON - Jean Jaurés,bus | rail,0.661,0,5,0,439
I606890002,CENTRE DES SPORTS RIMBERLIEU,60689,Villers-sur-Coudun,246000855,CC du Pays des Sources,60,Oise,1,0,49.488772,2.81426,STOPAREA:60:1421,VILLERS-SUR-COUDUN - Rimberlieu,bus,0.437,1,2,17,33
I621930039,Complexe Icéo,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,6,2,50.956494,1.896072,STOPAREA:62:6345,CALAIS - Lycée L. de Vinci,bus,0.308,1,2,29,40
I621930005,PISCINE EMILE RANSON,62193,Calais,200090751,CA Grand Calais Terres et Mers,62,Pas-de-Calais,2,2,50.955244,1.847365,STOPAREA:62:9970,CALAIS - Gare PEM,bus | rail,0.138,2,5,245,370
I624270010,Piscine Municipale Jean Jacques MALINA,62427,Hénin-Beaumont,246200299,CA d'Hénin-Carvin,62,Pas-de-Calais,2,2,50.423486,2.945709,STOPAREA:62:9443,HENIN-BEAUMONT - Willy Brandt,bus | rail,0.211,2,7,41,148
I622500003,piscine municipale,62250,Courrières,246200299,CA d'Hénin-Carvin,62,Pas-de-Calais,1,1,50.45622,2.95485,STOPAREA:59:1707,OIGNIES - Crombez,,3.028,0,0,0,0
I621190008,CENTRE AQUATIQUE CITE d'O,62119,Béthune,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,4,3,50.533235,2.630984,STOPAREA:62:6024,BETHUNE - Joffre,bus,0.747,0,3,0,68
I620480002,COMPLEXE BASLY,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,50.507635,2.468967,StopArea:OCE87342543,Calonne-Ricouart,,2.891,0,0,0,0
I624430002,INSTALLATIONS SPORTIVES complexe vivre,62443,Hersin-Coupigny,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,1,1,50.447701,2.645994,STOPAREA:62:8387,SAINS-EN-GOHELLE - Rue Pasteur,,2.051,0,0,0,0
I624570001,PARC DEPARTEMENTAL DE NATURE ET DE LOISIRS D'OLHAIN,62356,Fresnicourt-le-Dolmen,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,0,50.438897,2.576916,STOPAREA:62:8199,REBREUVE-RANCHICOURT - Pont Prieur,,1.345,0,0,0,0
I622700008,PISCINE TOURNESOL,62270,Divion,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,1,1,50.47106,2.49849,STOPAREA:62:6662,DIVION - La Drève,bus,0.501,0,5,0,96
I625160007,Piscine (Parc du Brule),62516,Lillers,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,1,1,50.563095,2.490141,StopArea:OCE87342238,Lillers,bus | rail,0.808,0,1,0,39
I621780006,Piscine Art Déco,62178,Bruay-la-Buissière,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,0,50.472724,2.541261,STOPAREA:62:6264,BRUAY-LA-BUISSIERE - Centre des Impôts,bus,0.677,0,5,0,101
I620830008,"Piscine communautaire à Barlin ""Le NAUTILUD""",62083,Barlin,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,1,1,50.455324,2.619896,STOPAREA:62:8387,SAINS-EN-GOHELLE - Rue Pasteur,,4.061,0,0,0,0
I626170019,Piscine municipale,62617,Nœux-les-Mines,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,2,2,50.472176,2.67016,StopArea:OCE87342139,Noeux-Les-Mines,,1.229,0,0,0,0
I624980051,Aqualens,62498,Lens,246200364,CA de Lens - Liévin,62,Pas-de-Calais,3,2,50.431737,2.818372,STOPAREA:62:7435,LENS - Gare Routière,bus | rail,0.702,0,3,0,205
I621330012,Centre Aquatique Louis Aragon,62133,Billy-Montigny,246200364,CA de Lens - Liévin,62,Pas-de-Calais,2,2,50.420324,2.914188,StopArea:OCE87345140,Billy-Montigny,bus | rail,0.556,0,1,0,65
I625100041,Espace aquatique et de remise en forme NAUTICAA,62510,Liévin,246200364,CA de Lens - Liévin,62,Pas-de-Calais,5,4,50.416872,2.771494,STOPAREA:62:7507,LIEVIN - Hôtel de Ville,bus,0.379,1,3,8,24
I620650002,PISCINE MUNICIPALE,62065,Avion,246200364,CA de Lens - Liévin,62,Pas-de-Calais,1,1,50.40657,2.84212,StopArea:OCE87342584,Avion,bus | rail,0.606,0,1,0,26
I628260004,CENTRE TENNISTIQUE PIERRE DE COUBERTIN,62826,Le Touquet-Paris-Plage,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,1,1,50.519111,1.596828,STOPAREA:62:8782,LE TOUQUET-PARIS-PLAGE - Lycée Hôtelier,bus,0.112,1,3,10,18
I623180002,PISCINE,62318,Étaples,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,1,1,50.5221,1.64916,STOPAREA:62:9507,ETAPLES - LP Jules Verne,bus | rail,0.107,1,4,2,115
I622890007,PISCINE MUNICIPALE,62289,Écuires,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,2,2,50.4535,1.75757,STOPAREA:62:6756,ECUIRES - Collège du Bras d'Or,bus,0.204,1,1,8,8
I627580010,Hélicéa,62758,Saint-Martin-Boulogne,246200729,CA du Boulonnais,62,Pas-de-Calais,2,1,50.731,1.64395,STOPAREA:62:9690,SAINT-MARTIN-BOULOGNE - Hélicéa,bus,0.113,1,4,8,53
I626430016,PISCINE INTERCOMMUNAL OCEANE,62643,Outreau,246200729,CA du Boulonnais,62,Pas-de-Calais,2,2,50.704825,1.584392,STOPAREA:62:7984,OUTREAU - Cimetière,bus,0.381,1,1,5,5
I621600029,PISCINE MUNICIPALE,62160,Boulogne-sur-Mer,246200729,CA du Boulonnais,62,Pas-de-Calais,3,2,50.731107,1.594687,STOPAREA:62:6184,BOULOGNE-SUR-MER - Nausicaa,bus,0.077,1,4,37,95
I620140019,AQUALYS,62014,Aire-sur-la-Lys,200069037,CA du Pays de Saint-Omer,62,Pas-de-Calais,2,2,50.633043,2.412368,STOPAREA:59:0011,AIRE SUR LA LYS - Lycée et LP Vauban,bus,0.373,2,4,5,14
I620140013,PISCINE IRIS,62014,Aire-sur-la-Lys,200069037,CA du Pays de Saint-Omer,62,Pas-de-Calais,1,1,50.64189,2.40322,STOPAREA:59:0013,AIRE SUR LA LYS - Place du Rivage,bus,0.334,4,6,26,32
I620400005,PISCINE MUNICIPALE,62040,Arques,200069037,CA du Pays de Saint-Omer,62,Pas-de-Calais,2,2,50.74689,2.28328,STOPAREA:62:8553,SAINT-OMER - Lycée de L'Aa,bus,0.421,1,1,7,7
I625250002,SCENEO,62525,Longuenesse,200069037,CA du Pays de Saint-Omer,62,Pas-de-Calais,2,2,50.74055,2.27057,STOPAREA:62:9543,LONGUENESSE - Centre Aquatique,bus,0.102,1,9,40,240
I625590002,COMPLEXE SPORTIF DU COLLEGE DES MARCHES DE L'ARTOIS,62559,Marquion,200044048,CC Osartis Marquion,62,Pas-de-Calais,1,1,50.209126,3.083382,STOPAREA:62:10093,MARQUION - Maison des Sociétés,bus,0.285,1,2,15,24
