id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,basins_total_on_site,school_basins_total_on_site,latitude,longitude,nearest_transit_hub_id,nearest_transit_hub,nearest_transit_modes,nearest_transit_distance_km,active_transit_hubs_within_500m,active_transit_hubs_within_1000m,weekday_trips_within_500m,weekday_trips_within_1000m
I628650007,Centre aquatique Aquatis,62865,Vitry-en-Artois,200044048,CC Osartis Marquion,62,Pas-de-Calais,3,1,50.332866,2.980227,STOPAREA:62:10084,VITRY-EN-ARTOIS - Aquatis,bus | rail,0.116,3,6,62,128
I625060002,SALLE DE JEUX ET TERRAINS DE PETANQUE,62506,Licques,200072478,CC Pays d'Opale,62,Pas-de-Calais,1,0,50.779729,1.948299,STOPAREA:62:7485,LICQUES - Place du G de Gaulle,,1.275,0,0,0,0
I622680012,Centre Aquatique Naturéo,62268,Desvres,200018083,CC de Desvres-Samer,62,Pas-de-Calais,2,2,50.664796,1.842827,STOPAREA:62:6648,DESVRES - Rue de Monsigny,bus,0.395,1,3,29,74
I620570009,PISCINE INTERCOMMUNALE,62057,Audruicq,246200844,CC de la Région d'Audruicq,62,Pas-de-Calais,1,1,50.87736,2.07118,STOPAREA:59:0118,AUDRUICQ - Gare,bus | rail,0.397,2,3,49,51
I625490001,Aquatic & Bowling Center de l'Hesdinois,62549,Marconne,200044030,CC des 7 Vallées,62,Pas-de-Calais,3,3,50.366296,2.030293,STOPAREA:62:10094,MARCONNE - Pôle Emploi,bus,0.193,2,6,22,111
I625340009,Piscine Intercommunale de Lumbres,62534,Lumbres,246201016,CC du Pays de Lumbres,62,Pas-de-Calais,2,2,50.708466,2.130031,STOPAREA:62:9535,LUMBRES - Gendarmerie,bus,0.216,1,4,31,119
I620800008,PISCINE INTERCOMMUNALE,62080,Bapaume,200035442,CC du Sud-Artois,62,Pas-de-Calais,1,1,50.107093,2.859793,STOPAREA:62:9683,BAPAUME - Calvaire,bus,0.297,2,7,41,152
I623610002,COMPLEXE SIDONIE GUITTARD,62361,Frévent,200069672,CC du Ternois,62,Pas-de-Calais,2,0,50.275143,2.293466,STOPAREA:62:6995,FREVENT - Rue de Doullens,bus,0.105,6,7,95,109
I627670011,Piscine Municipale,62767,Saint-Pol-sur-Ternoise,200069672,CC du Ternois,62,Pas-de-Calais,2,0,50.37775,2.32205,STOPAREA:62:8574,SAINT-POL-SUR-TERNOISE - Collège R. Salengro,bus,0.521,0,4,0,52
I620410045,PISCINE ELIE DESBIN,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,2,2,50.279799,2.793767,STOPAREA:62:5709,ARRAS - Lycée Guy Mollet,bus,0.135,2,7,116,249
I620410067,PISCINE GEORGES DAULLE,62041,Arras,200033579,CU d'Arras,62,Pas-de-Calais,2,2,50.2975,2.74294,STOPAREA:62:5695,ARRAS - Eglise Saint-Paul,bus,0.227,1,3,26,58
I620040009,PISCINE MUNICIPALE,62004,Achicourt,200033579,CU d'Arras,62,Pas-de-Calais,1,1,50.268277,2.769349,STOPAREA:62:9542,ACHICOURT - Carrfour des 4 As,bus,0.382,1,1,1,1
I800210162,Centre Aquatique Amiens Metropole,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,4,2,49.87343,2.290417,80:07812,AMIENS - Arrêt AMETIS Collège Sagebien,bus,0.179,3,10,7,154
I800210059,Coliseum,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,4,4,49.89368,2.28886,STOPAREA:80:0025,AMIENS - Gare St-Roch - Simone Veil,bus | rail,0.255,4,4,113,113
I800210027,Piscine Le Nautilus (structurant),80021,Amiens,248000531,CA Amiens Métropole,80,Somme,3,3,49.91068,2.311935,80:05050,AMIENS - Rue Voltaire,bus,0.506,0,3,0,65
I800010025,Piscine : AQU'ABB,80001,Abbeville,200070993,CA de la Baie de Somme,80,Somme,4,2,50.110689,1.8402,80:01989,ABBEVILLE - Cité scolaire,bus,0.69,0,1,0,54
I805700001,Centre aquatique Alméo,80570,Moreuil,200070969,CC Avre Luce Noye,80,Somme,3,3,49.7673,2.49116,80:03310,MOREUIL- Rue de Créqui,bus,0.445,1,1,2,2
I804100008,Piscine Aquari'Ham,80410,Ham,200070985,CC de l'Est de la Somme,80,Somme,2,2,49.75404,3.07598,02:02664,HAM - COLLEGE VICTOR HUGO,bus,0.336,3,6,21,69
I806200002,CENTRE AQUATIQUE,80620,Péronne,200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,1,1,49.93,2.94,80:08728,PERONNE - Rue Saint Sauveur,bus,0.209,2,4,40,72
I806200031,Piscine Tournesol,80620,Péronne,200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,1,1,49.93641,2.94448,80:03476,PERONNE - Cité Scolaire,bus,0.22,1,2,26,45
I806850010,Arobase,80685,Roye,200070977,CC du Grand Roye,80,Somme,1,1,49.69745,2.79947,STOPAREA:80:0017,ROYE - Place de la République,bus,0.471,3,3,36,36
I800160008,Piscine Caneton,80016,Albert,248000747,CC du Pays du Coquelicot,80,Somme,1,1,50.0002,2.65671,80:08186,ALBERT - Cimetière,bus,0.366,1,1,2,2
I803680002,Complexe sportif Viméo,80368,Friville-Escarbotin,200070944,CC du Vimeu,80,Somme,1,1,50.076276,1.551669,80:04763,FRIVILLE-ESCARBOTIN - Rue Lucien Desenclos,bus,0.677,0,2,0,28
