epci_code,epci_nom,code_departement,departement,bassins_total,bassins_usage_scolaires,bassins_site_scolaire_explicit,bassins_usage_scolaires_qpv,bassins_usage_scolaires_qpv_200m,bassins_site_scolaire_qpv,bassins_site_scolaire_qpv_200m,surface_bassins_usage_scolaires_m2,surface_bassins_site_scolaire_explicit_m2,part_bassins_usage_scolaires,part_bassins_site_scolaire_explicit,part_usage_scolaires_qpv,part_usage_scolaires_qpv_200m
200018083,CC de Desvres-Samer,62,Pas-de-Calais,2,2,0,0,0,0,0,750.0,0,1.0,0.0,0.0,0.0
246200844,CC de la Région d'Audruicq,62,Pas-de-Calais,1,1,0,0,0,0,0,250.0,0,1.0,0.0,0.0,0.0
200044030,CC des 7 Vallées,62,Pas-de-Calais,3,3,0,0,0,0,0,330.0,0,1.0,0.0,0.0,0.0
246201016,CC du Pays de Lumbres,62,Pas-de-Calais,2,2,0,0,0,0,0,600.0,0,1.0,0.0,0.0,0.0
200035442,CC du Sud-Artois,62,Pas-de-Calais,1,1,0,0,0,0,0,250.0,0,1.0,0.0,0.0,0.0
200069672,CC du Ternois,62,Pas-de-Calais,4,0,0,0,0,0,0,0.0,0,0.0,0.0,,
200033579,CU d'Arras,62,Pas-de-Calais,5,5,0,3,3,0,0,1345.0,0,1.0,0.0,0.6,0.6
248000531,CA Amiens Métropole,80,Somme,11,9,0,3,3,0,0,3693.0,0,0.8181818181818182,0.0,0.3333333333333333,0.3333333333333333
200070993,CA de la Baie de Somme,80,Somme,4,2,0,0,0,0,0,575.0,0,0.5,0.0,0.0,0.0
200070969,CC Avre Luce Noye,80,Somme,3,3,0,0,0,0,0,525.5,0,1.0,0.0,0.0,0.0
200070985,CC de l'Est de la Somme,80,Somme,2,2,0,0,0,0,0,500.0,0,1.0,0.0,0.0,0.0
200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,2,2,0,0,0,0,0,625.0,0,1.0,0.0,0.0,0.0
200070977,CC du Grand Roye,80,Somme,1,1,0,0,0,0,0,313.0,0,1.0,0.0,0.0,0.0
248000747,CC du Pays du Coquelicot,80,Somme,1,1,0,0,0,0,0,250.0,0,1.0,0.0,0.0,0.0
200070944,CC du Vimeu,80,Somme,1,1,0,0,0,0,0,0.0,0,1.0,0.0,0.0,0.0
