id_equipement,id_installation,installation,equipement,code_commune,commune,epci_code,epci_nom,dep_code,departement,typologie_commune_source,particularite_installation,particularite_installation_brute,famille_equipement,type_equipement,code_type_equipement,rnb_id,uai,survey_date,state_change_date,observation_installation,observation_equipement,handicap_access_types,transport_access_modes,opening_authorized_flag,erp_type,erp_category,year_service,service_period,last_major_works_date,last_major_works_period,last_major_works_year,last_major_works_motives,energy_sources,pmr_access_detail,sensory_access_detail,type_utilisation,free_access_flag,seasonal_only_flag,longueur_m,largeur_m,surface_bassin_m2,profondeur_min_m,profondeur_max_m,nb_couloirs,installation_out_of_service_flag,longitude,latitude,activites,operational_status_code,operational_status_label,operational_status_reason,status_source,status_source_url,status_reviewed_at,status_confidence,status_verified_by,status_is_manual,status_override_comment
E004I628650007,I628650007,Centre aquatique Aquatis,Salle de cardio-training,62865,Vitry-en-Artois,200044048,CC Osartis Marquion,62,Pas-de-Calais,Ceintures urbaines,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,,,2025-03-31,,,,Handicap moteur,Bus,1,X,3,2014.0,A partir de 2005,,,,,Gaz | Autre,"Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires",Sanitaires,"Individuel(s),famille(s)",0,0,,,,,,,0,2.980227,50.332866,Gymnastique volontaire | Musculation,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E007I800210059,I800210059,Coliseum,Petite patinoire,80021,Amiens,248000531,CA Amiens Métropole,80,Somme,Grands centres urbains,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Aire de sports de glaces,Aire de sports de glace sportive,1501,SV51SDFKPJTJ,,2025-03-31,2024-02-22,"Parking à proximité mais non spécifique au Coliseum. Pour les équipements extérieurs, le public n'a pas accès ni aux vestiaires, ni aux wc.",Ballet ballon : 7399,Handicap moteur,Bus,1,L | X,1,,1965-1974,2003,1995-2004,2003.0,Vétusté normale | remise à niveau,,"Sanitaires,Tribunes,Vestiaires",Sanitaires,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",0,0,,,,,,,0,2.28889,49.89371,Ballet sur glace / Danse sur glace / Patinage artistique | Hockey sur glace / Ringuette,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E008I620480002,I620480002,COMPLEXE BASLY,PISCINE MUNICIPALE PETIT BASSIN,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,Centres urbains intermédiaires,"Complexe sportif,Piscine",Complexe sportif | Piscine,Bassin de natation,Bassin sportif de natation,102,9RRMZZNKVGSC,,2025-03-31,2024-04-24,,RAS,,,1,X,2,,1995-2004,2017,,2017.0,,Gaz,"Accueil,Douches",,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,15.0,15.0,225.0,0.8,1.2,,0,2.46896,50.50776,Baignade loisirs | Natation en eau libre,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E008I628260004,I628260004,CENTRE TENNISTIQUE PIERRE DE COUBERTIN,Terrain de Tennis n°2,62826,Le Touquet-Paris-Plage,200069029,CA des Deux Baies en Montreuillois,62,Pas-de-Calais,Ceintures urbaines,"Complexe sportif,Piscine",Complexe sportif | Piscine,Court de tennis,Court de tennis,501,,,2025-03-31,2024-03-12,,Centre de Préparation aux Jeux (CPJ),Handicap moteur,,1,PA,2,1904.0,Avant 1945,2005,A partir de 2005,2005.0,Vétusté normale | remise à niveau,,"Aire de jeu,Cheminements,Douches,Vestiaires",,"Individuel(s),famille(s),Clubs sportifs,comités,ligues,fédérations,Scolaires,universités,Autre - association(s) et groupes divers",0,0,,,,,,,0,1.597129,50.518692,Tennis,seasonal,Ouverture saisonnière,La fiche officielle du Centre Tennistique Pierre de Coubertin précise que la piscine extérieure chauffée de 25 m est ouverte d'avril à septembre selon les conditions climatiques.,Office de tourisme du Touquet-Paris-Plage,https://www.letouquet.com/activites/centre-tennistique-pierre-de-coubertin/,2026-03-16,Forte,,1,La fiche officielle du Centre Tennistique Pierre de Coubertin précise que la piscine extérieure chauffée de 25 m est ouverte d'avril à septembre selon les conditions climatiques.
E008I020710003,I020710003,"Camping ""La Croix du vieux Pont",Salle de ping-pong,02071,Berny-Rivière,200071991,CC Retz-en-Valois,02,Aisne,Rural à habitat dispersé,Piscine,Piscine,Salle ou terrain spécialisé,Salle de tennis de table,2111,,,2025-03-31,2024-02-05,"660 emplacements (Châlets, Cabanes dans les arbres et tentes)",RAS,Handicap moteur,,0,,,,,,,,,,,,,0,0,,,,,,,0,3.128348,49.406191,Tennis de table,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E006I591830058,I591830058,PISCINE PAUL ASSEMAN,Boulodrome,59183,Dunkerque,245900428,CU de Dunkerque,59,Nord,Grands centres urbains,Piscine,Piscine,Boulodrome,Terrain de pétanque,202,1QRWDV52174Z,,2025-03-31,2024-09-19,Présence d'un bassin Scientifique de 5m*3m avec turbine et moyen d'analyse par caméra qui permet d'analyser la technique et la biomécanique du nageur dans les 4 nages,RAS,,,0,,,,1975-1984,,,,,,"Accueil,Cheminements",,"Clubs sportifs,comités,ligues,fédérations,Autre - association(s) et groupes divers",0,0,,,,,,,0,2.38574,51.04771,Pétanque et jeu provencal,open_probable,Ouvert probable,"Une visite guidée officielle programmée le 20 novembre 2025 ouvre la piscine Paul Asseman au public et à ses coulisses, ce qui confirme l'exploitation du site.",Dunkerque Tourisme,https://www.dunkerque-tourisme.fr/offres/fabuleuses-visites-piscine-paul-asseman-dunkerque-fr-6049194/,2026-03-16,Moyenne,,1,"Une visite guidée officielle programmée le 20 novembre 2025 ouvre la piscine Paul Asseman au public et à ses coulisses, ce qui confirme l'exploitation du site."
E010I601590027,I601590027,Plaine des sports Zac Mercieres,Terrains de football Merciére 2,60159,Compiègne,200067965,CA de la Région de Compiègne et de la Basse Automne,60,Oise,Centres urbains intermédiaires,"Complexe sportif,Piscine,Patinoire",Complexe sportif | Piscine | Patinoire,Terrain de grands jeux,Terrain de football,2802,,,2025-03-31,2024-04-24,RAS,RAS,Handicap moteur,Bus,0,,,,1975-1984,,,,,,,,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,,,,,,,0,2.78243,49.38783,Football / Football en salle (Futsal),open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E010I606890002,I606890002,CENTRE DES SPORTS RIMBERLIEU,6 tennis extérieurs 3,60689,Villers-sur-Coudun,246000855,CC du Pays des Sources,60,Oise,Bourgs ruraux,"Complexe sportif,Piscine",Complexe sportif | Piscine,Court de tennis,Court de tennis,501,,,2025-03-31,2020-12-12,"Visite de l'enqueteur en 2010, pas d'éléments fournis car la continuité de l'activité du site est remise en question. Fiche à vérifier ulterieurement en cas de reprise ou cessation  d'activité.",,Handicap moteur,,0,,,,,,,,,,,,,0,0,,,,,,,0,2.81307,49.48812,,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E010I620480002,I620480002,COMPLEXE BASLY,Salle de musculation,62048,Auchel,200072460,"CA de Béthune-Bruay, Artois-Lys Romane",62,Pas-de-Calais,Centres urbains intermédiaires,"Complexe sportif,Piscine",Complexe sportif | Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,9RRMZZNKVGSC,,2025-03-31,2024-04-24,,RAS,,,1,X,3,1972.0,1965-1974,,,,,Gaz,"Accueil,Sanitaires",,"Clubs sportifs,comités,ligues,fédérations,Scolaires,universités",0,0,,,,,,,0,2.468973,50.507511,Musculation,open_probable,Ouvert probable,Aucun signal de fermeture détecté dans Data ES.,Data ES calculé,,,,,0,
E005I590090058,I590090058,CENTRE NAUTIQUE BABYLONE,Salle de musculation J.MARTIN,59009,Villeneuve-d'Ascq,200093201,Métropole Européenne de Lille,59,Nord,Grands centres urbains,Piscine,Piscine,Equipement d'activités de forme et de santé,Salle de musculation/cardiotraining,802,G6D2HNB8SBFD,,2025-03-31,2024-04-24,,,Handicap moteur,,1,X,5,2013.0,A partir de 2005,,,,,Gaz | Autre,"Accueil,Aire de jeu,Cheminements,Douches,Sanitaires,Vestiaires",Sanitaires,"Clubs sportifs,comités,ligues,fédérations",0,0,,,,,,,0,3.14376,50.65204,Musculation,open_probable,Ouvert probable,La page officielle affiche les horaires du centre nautique Babylone pendant l'hiver 2026 puis en période scolaire.,Ville de Villeneuve d'Ascq,https://piscines.villeneuvedascq.fr/horaires-des-piscines,2026-03-11,Forte,,1,La page officielle affiche les horaires du centre nautique Babylone pendant l'hiver 2026 puis en période scolaire.
