code_fede_ref,sexe,trage_full,trage,code_departement,departement,newreg,newreg_l,licences_ffn_2024,population_reference,licences_pour_1000hab,rank_fede_dep,lics_pop_fr,indice_specificite,fede_gp
119,H,d - de 15 à 19 ans,15 à 19 ans,80,80 - Somme,32,32 - Hauts-de-France,71,18683,3.80024621313494,94.0,6.13189189189189,0.619751013249262,1. Olympique
119,H,e - de 20 à 24 ans,20 à 24 ans,80,80 - Somme,32,32 - Hauts-de-France,29,18336,1.58158813263525,72.0,2.03438986145334,0.777426275367587,1. Olympique
119,H,f - de 25 à 29 ans,25 à 29 ans,80,80 - Somme,32,32 - Hauts-de-France,13,15737,0.826078668107009,89.0,2.03554372504502,0.405827031835801,1. Olympique
119,H,g - de 30 à 34 ans,30 à 34 ans,80,80 - Somme,32,32 - Hauts-de-France,16,15946,1.00338642919855,86.0,2.10877582056452,0.475814650098719,1. Olympique
119,H,h - de 35 à 39 ans,35 à 39 ans,80,80 - Somme,32,32 - Hauts-de-France,30,16841,1.78136690220296,54.0,2.44578314407459,0.728342128989923,1. Olympique
119,H,i - de 40 à 44 ans,40 à 44 ans,80,80 - Somme,32,32 - Hauts-de-France,27,17271,1.56331422615946,82.0,3.03272094312449,0.515482385447847,1. Olympique
119,H,j - de 45 à 49 ans,45 à 49 ans,80,80 - Somme,32,32 - Hauts-de-France,30,16388,1.83060776177691,80.0,3.35687422804288,0.545331054254061,1. Olympique
119,H,k - de 50 à 54 ans,50 à 54 ans,80,80 - Somme,32,32 - Hauts-de-France,27,18718,1.44246180147452,84.0,2.79773399594516,0.515582183140041,1. Olympique
119,H,l - de 55 à 59 ans,55 à 59 ans,80,80 - Somme,32,32 - Hauts-de-France,11,17761,0.619334496931479,97.0,2.07411166341818,0.298602292178813,1. Olympique
119,H,m - de 60 à 64 ans,60 à 64 ans,80,80 - Somme,32,32 - Hauts-de-France,17,17174,0.989868405729591,69.0,1.56814721134656,0.631234362799137,1. Olympique
119,H,n - de 65 à 69 ans,65 à 69 ans,80,80 - Somme,32,32 - Hauts-de-France,12,15606,0.768935024990388,59.0,1.16430065047553,0.660426518422312,1. Olympique
119,H,o - de 70 à 74 ans,70 à 74 ans,80,80 - Somme,32,32 - Hauts-de-France,10,14842,0.673763643713785,45.0,0.774345982761767,0.870106720655737,1. Olympique
119,H,p - de 75 à 79 ans,75 à 79 ans,80,80 - Somme,32,32 - Hauts-de-France,5,11203,0.446309024368473,53.0,0.611403083164423,0.729975096066776,1. Olympique
119,H,q - de 80 à 99 ans,80 ans et plus,80,80 - Somme,32,32 - Hauts-de-France,1,11119,0.0899361453368109,62.0,0.252986056854181,0.355498427285458,1. Olympique
